town	comarca	territori	dialecte	notes
L'Alguer	L'Alguer	Alguer	alguerès	
Andorra la Vella	Andorra la Vella	Andorra	northwestern	parròquia
Canillo	Canillo	Andorra	northwestern	parròquia
Encamp	Encamp	Andorra	northwestern	parròquia
Escaldes-Engordany	Escaldes-Engordany	Andorra	northwestern	parròquia
Ordino	Ordino	Andorra	northwestern	parròquia
Sant Julià de Lòria	Sant Julià de Lòria	Andorra	northwestern	parròquia
la Massana	la Massana	Andorra	northwestern	parròquia
Aiguamúrcia	Alt Camp	Catalunya	central	
Alcover	Alt Camp	Catalunya	central	
Alió	Alt Camp	Catalunya	central	
Bràfim	Alt Camp	Catalunya	central	
Cabra del Camp	Alt Camp	Catalunya	central	
Figuerola del Camp	Alt Camp	Catalunya	central	
Mont-ral	Alt Camp	Catalunya	central	
Montferri	Alt Camp	Catalunya	central	
Nulles	Alt Camp	Catalunya	central	
Puigpelat	Alt Camp	Catalunya	central	
Querol	Alt Camp	Catalunya	central	
Rodonyà	Alt Camp	Catalunya	central	
Vallmoll	Alt Camp	Catalunya	central	
Valls	Alt Camp	Catalunya	central	
Vila-rodona	Alt Camp	Catalunya	central	
Vilabella	Alt Camp	Catalunya	central	
el Milà	Alt Camp	Catalunya	central	
el Pla de Santa Maria	Alt Camp	Catalunya	central	
el Pont d'Armentera	Alt Camp	Catalunya	central	
el Rourell	Alt Camp	Catalunya	central	
els Garidells	Alt Camp	Catalunya	central	
la Masó	Alt Camp	Catalunya	central	
la Riba	Alt Camp	Catalunya	central	
Agullana	Alt Empordà	Catalunya	central	
Albanyà	Alt Empordà	Catalunya	central	
Avinyonet de Puigventós	Alt Empordà	Catalunya	central	
Biure	Alt Empordà	Catalunya	central	
Boadella i les Escaules	Alt Empordà	Catalunya	central	
Borrassà	Alt Empordà	Catalunya	central	
Bàscara	Alt Empordà	Catalunya	central	
Cabanelles	Alt Empordà	Catalunya	central	
Cabanes (Alt Empordà)	Alt Empordà	Catalunya	central	
Cadaqués	Alt Empordà	Catalunya	central	
Campmany	Alt Empordà	Catalunya	central	
Cantallops	Alt Empordà	Catalunya	central	
Castelló d'Empúries	Alt Empordà	Catalunya	central	
Cistella	Alt Empordà	Catalunya	central	
Colera	Alt Empordà	Catalunya	central	
Darnius	Alt Empordà	Catalunya	central	
Espolla	Alt Empordà	Catalunya	central	
Figueres	Alt Empordà	Catalunya	central	
Fortià	Alt Empordà	Catalunya	central	
